isbn,Anzahl,Titel
"978-3-440-17968-0",2,Die drei  - Diebstahl im Weihnachtsdorf
"978-3-440-17974-1",2,Die Auferstehung
"978-3-440-18215-4",3,Die drei  Adventskalender 3 Wirbel um das Weihnachts-Pony
"978-3-440-18258-1",4,EXIT - Das Buch Der Adventskalender Die Intrige im Herrenhaus
"978-3-440-18284-0",2,Die drei  Kids - Der Adventskalender
"978-3-442-14268-2",2,Der Salzpfad
"978-3-442-20654-4",1,Montmartre - Licht und Schatten
"978-3-442-31768-4",2,Wer Zwietracht sät
"978-3-442-31784-4",1,Die Briefeschreiberin
"978-3-442-49653-2",1,Eine fast perfekte Frau
"978-3-442-49689-1",1,Das Jahr voller Bücher und Wunder
"978-3-442-76299-6",1,BLUT
"978-3-442-77424-1",1,Zwischen Welten
"978-3-442-77524-8",3,Trophäe
"978-3-442-77541-5",1,Möchte die Witwe angesprochen werden 
"978-3-453-42949-9",1,Der Lehrer - Will er dir helfen oder will er deinen Tod
"978-3-453-44213-9",1,Achtsam morden durch bewusste Ernährung
"978-3-453-44215-3",2,Wenn sie wüsste
"978-3-453-44317-4",2,Munk
"978-3-453-60701-9",1,Allein mit dem Handy So schützen wir unsere Kinder
"978-3-458-64524-5",2,Vom Glück im Chor zu singen
"978-3-458-64534-4",1,Birdie
"978-3-462-00827-2",1,Zeit sich aus dem Staub zu machen
"978-3-462-00924-8",2,Das verborgene Genie
"978-3-473-32697-6",1,Fuball
"978-3-473-32954-0",1,Wieso Weshalb Warum junior Band 44 Was machen wir an Weihnachten
"978-3-473-41922-7",1,Lotta feiert Weihnachten
"978-3-473-46361-9",2,Zauberhafte Weihnachtsgeschichten für Erstleser - lesen lernen mit dem 1
"978-3-473-46398-5",2,Die unendliche Klassenfahrt - Spuk auf Burg Hammelstein
"978-3-473-46403-6",1,Hase Hibiskus und die KEinschlafparty
"978-3-473-46418-0",1,Die Jagd nach dem magischen Detektivkoffer  Adventskalender
"978-3-473-58683-7",4,Northern Nights Ein Adventskalender New-Adult-Lovestorys
"978-3-473-60076-2",2,Wieso Weshalb Warum junior AKTIV - Auf dem Ponyhof
"978-3-473-60077-9",1,Wieso Weshalb Warum Sonderband - Mein ABC der Tiere
"978-3-473-60089-2",2,Wieso Weshalb Warum Meine Vorlesegeschichten Band 3 - Wer ist hi
"978-3-492-06529-0",1,Leichtes Herz und schwere Beine
"978-3-492-06624-2",1,Die mutige Rebellin
"978-3-492-07183-3",1,Sonnenaufgang Nr 5
"978-3-492-07245-8",1,Und ohne Tabu explodiert die Welt
"978-3-492-07366-0",1,Ein Herz aus Papier und Sternen
"978-3-492-32176-1",1,Die geheime Weihnachtsbibliothek
"978-3-492-32199-0",2,Der Maler und das reine Blau des Himmels
"978-3-492-32218-8",1,Späte Ernte
"978-3-498-00770-6",1,Die Assistentin
"978-3-499-00377-6",1,Besser fühlen
"978-3-499-00404-9",1,Eifelfrauen Das Haus der Füchsin
"978-3-499-00993-8",1,Eine halbe Ewigkeit
"978-3-499-01130-6",1,Iowa
"978-3-499-01269-3",1,Ein Ort für immer
"978-3-499-01438-3",1,Die schönste Version
"978-3-499-01613-4",1,Ihr habt es gut ihr habt ja mich
"978-3-499-01726-1",1,Das kleine Zuhause in Prag
"978-3-505-15202-3",1,Minecraft Lexikon der Mobs
"978-3-505-15288-7",1,Spekulatius der Weihnachtsdrache Spekulatius und der Schneeriese
"978-3-518-00130-1",1,Mit Männern leben
"978-3-518-43220-4",1,Mein Name ist Emilia del Valle
"978-3-518-43226-6",1,Das Narrenschiff
"978-3-522-18673-5",1,Kleine Lesehelden Hörbe mit dem groen Hut
"978-3-522-18859-3",2,Das groe Geschichtenfest
"978-3-522-20406-4",1,Momo
"978-3-522-45948-8",2,Dr Brumms verrückte Woche
"978-3-522-50956-5",1,Winona und der Ruf der Wiccas
"978-3-522-90000-3",1,Velvet Falls but the Gods forgot to die
"978-3-548-07047-6",1,25 letzte Sommer
"978-3-550-20177-6",2,Organisch
"978-3-551-17347-8",1,Alle putzen Zähne
"978-3-551-19154-0",1,Mach deinen Medienführerschein Dein groes Mitmachbuch
"978-3-551-19253-0",1,Mein Mutmach-Mitmachbuch
"978-3-551-25404-7",1,Die schönsten Weihnachtslieder
"978-3-551-28072-5",1,Marvel Das groe silberne Spidey-Buch
"978-3-551-52233-7",1,Drachenstarke Weihnachtsnacht
"978-3-551-52319-8",1,Der Tag an dem Max dreimal ins Auto gekotzt hat
"978-3-551-55757-5",1,Jakob und Jelena
"978-3-551-55953-1",3,Wir Jungs vom Prinzenpark
"978-3-551-58640-7",1,Stadt der Magier und Diebe
"978-3-551-65737-4",3,Die Schule der magischen Tiere ermittelt Neuausgabe 7
"978-3-551-69126-2",3,Die Fellfreunde und das Dschungel-Abenteuer
"978-3-551-69131-6",2,Wortsalat und Buchstabensuppe
"978-3-551-69132-3",3,Weihnachten im Winterschlaf
"978-3-551-80749-6",2,Snoopy und die Peanuts - Das Glück der kleinen Dinge
"978-3-552-07574-0",1,Das Geschenk
"978-3-596-71151-2",3,Welcome Home - Du liebst dein neues Zuhause Hier bist du sicher Oder
"978-3-596-71200-7",1,Yoga Town
"978-3-608-96654-1",2,Die illustrierten kurzen Antworten auf groe Fragen
"978-3-616-03540-6",1,Der Buchladen am Ende der Welt
"978-3-629-01534-1",3,Allüberall hinter den Tannenspitzen sah ich blutige Klingen blitzen
"978-3-629-01545-7",1,Wichtel Nisse und das ungeplante Weihnachtswunder
"978-3-630-87812-6",1,Der stille Freund
"978-3-649-63299-3",2,Advent mit klugen Frauen
"978-3-649-64683-9",2,Snorri und der Nicht-Geburtstag
"978-3-649-64848-2",2,Furzipups und Lulu Lavazunge
"978-3-649-65094-2",1,Die kleine Schnullerfee
"978-3-7106-0896-4",2,Ein Fest für Gemüse
"978-3-7341-0743-6",1,Dunkles Wasser
"978-3-7348-6050-8",2,Wasser - Wo kommt es her Wo fliet es hin
"978-3-7348-6086-7",1,Familien im Tierreich
"978-3-7371-0226-1",1,Lzr
"978-3-7408-0203-5",2,Makrönchen Mord  Mandelduft
"978-3-7408-1249-2",1,Kling und Glöckchen
"978-3-7408-2492-1",1,Eifelschatten
"978-3-7408-2552-2",1,Im Bann der Freibeuter
"978-3-7423-2176-3",1,Wenn ich was mach mach ichs gscheid
"978-3-7432-0270-2",3,Komm mit in die Weihnachtsbäckerei
"978-3-7432-1109-4",5,Die kleine Maus feiert Weihnachten
"978-3-7432-1363-0",1,O du fröhliche
"978-3-7432-1595-5",1,Milo und das Eifersuchtsmonster
"978-3-7432-1765-2",2,Die zauberhafte Wichteltür
"978-3-7432-1903-8",3,Bildermaus - Die kleine Eisprinzessin
"978-3-7432-1956-4",2,Nightmore - Plötzlich Werwolf
"978-3-7432-2065-2",2,Na toll ein Weihnachtstroll
"978-3-7432-2102-4",1,Unico erwacht Band 1
"978-3-7462-6577-3",1,Ein Jahr für die Seele 20252026
"978-3-7512-0475-0",1,Kleb ein buntes Pflaster drauf
"978-3-7512-0537-5",1,KoboldKroniken 5 Rumpels Rückkehr
"978-3-7512-0578-8",2,Irida und die Stadt der Geheimnisse
"978-3-7512-0770-6",1,Escape School - Der unheimliche Nebel
"978-3-7558-0522-9",1,Windstärke 17
"978-3-7558-0558-8",1,Zwei Leben
"978-3-7577-0160-4",2,Das zweite Königreich
"978-3-7587-0021-7",2,Und plötzlich ist nichts mehr wie es war
"978-3-7596-0032-5",1,Madwoman
"978-3-7641-5322-9",1,Das kleine Böse Buch - Adventskalender
"978-3-7641-7153-7",3,Der Regenzaubermarkt
"978-3-7645-0880-7",1,Vermisst - Der Fall Emily
"978-3-7670-1944-7",2,Heiluftfritteuse vegetarisch
"978-3-7886-7656-8",1,Das groe WAS IST WAS Antwortbuch Tierwelt
"978-3-7886-7737-4",1,WAS IST WAS Erstes Lesen easy Band 19 Tierische Rekorde
"978-3-7891-0766-5",1,Alea Aquarius 10 Der Stern des Schicksals
"978-3-8031-2883-6",1,Alle auer mir
"978-3-8094-4789-4",4,Schüttel den Weihnachtsbaum
"978-3-8157-5271-5",1,Bibelgeschichten für die Kleinsten
"978-3-8157-9361-9",2,Meine allerliebsten Kindergebete
"978-3-8270-1507-5",2,Mensch
"978-3-8303-3702-7",2,Fiese Bilder - Buchausgabe 2025
"978-3-8321-6722-6",1,Crime im Heim
"978-3-8337-5022-9",1,Enno - Ein Austernfischer auf Schatzsuche
"978-3-8338-9058-1",4,Vegetarische Mezze
"978-3-8338-9238-7",2,Brotzeit geht immer
"978-3-8338-9489-3",1,Überraschende Ideen für deinen Airfryer
"978-3-8338-9605-7",1,Schnell mal Pasta
"978-3-8339-0676-3",1,Weihnachten mit ohne Juli
"978-3-8339-1031-9",1,Herr Hütchen sagt Gute Nacht - Einschlaf-Geschichten aus dem Wald
"978-3-8353-5807-2",1,Die Revolte der Erde
"978-3-8392-0770-3",1,Die Schneckenkönigin - Wenn aber deine Hand dir  
"978-3-8458-6528-7",1,Ice-cold Desire
"978-3-85535-220-3",2,Nachtschattengewächse
"978-3-949239-25-0",3,Das kleine Häwas
"978-3-949582-44-8",7,Margot Friedländer Eine Stimme für das Leben
"978-3-95640-445-0",1,Die Frau als Mensch
"978-3-95939-235-8",1,Stille Post
"978-3-96129-516-6",1,Nanami - Schwimm dich mutig
"978-3-96340-260-9",1,Der Liebe zuliebe
"978-3-96347-336-4",4,Leo Lausemaus lernt Schleifen binden
"978-3-96584-561-9",1,Die Ernährungs-Docs - Unsere groe Nährstoffküche
"978-3-96890-226-5",1,YouTube-Chaos
"978-3-96990-212-7",1,Die 25 schönsten E-Bike Touren zwischen Rhein Main und Lahn
"978-3-98585-211-6",2,Der verschwundene Buchladen
"978-3-98816-022-5",1,Die Ausweichschule
"978-94-0383209-8",2,Weil du es wert bist - Der Selbstliebe Adventskalender für Frauen
"9783-406-83626-8",1,Anna oder Was von einem Leben bleibt
